gene_id,loading_comp1_rss,loading_comp2_rss,loading_max,top_time_feature
Nfu_g_1_009325,0.03977776336961788,0.024413839516071553,0.030516487526495824,w20
Nfu_g_1_018267,0.0397705393664427,0.03984853180669485,0.02988742269127182,w20
Nfu_g_1_001315,0.039679108805213484,0.04224625836549458,0.02893337803406251,delta20minus10
Nfu_g_1_018675,0.0394378437438931,0.04768188791604807,0.03316606822851198,w20
Nfu_g_1_021561,0.0394094585628732,0.022601730769060097,0.028857178680846203,w20
Nfu_g_1_007885,0.03938525384888922,0.013225432307394537,0.027864904737705427,delta20minus10
Nfu_g_1_011219,0.03930639295619595,0.019568906694429032,0.027552952605473174,delta20minus10
Nfu_g_1_018818,0.03926188120569539,0.029364090756493908,0.032097429635757825,w20
Nfu_g_1_008310,0.039259731574950246,0.04500899980159942,0.0302753046143391,delta20minus10
Nfu_g_1_021051,0.03916959532830706,0.025464194731479213,0.031171420977741136,w20
Nfu_g_1_021566,0.039103877597397974,0.015354554526420174,0.029327521096198413,w20
Nfu_g_1_009390,0.03908449951897119,0.044695246437269326,0.033813088413649016,delta20minus10
Nfu_g_1_019916,0.039024015933584205,0.020031547596618286,0.027535829544928832,w20
Nfu_g_1_005172,0.03900422368820276,0.04286346062472608,0.02868795490243775,delta20minus10
Nfu_g_1_023493,0.03900409744982697,0.01565006105745823,0.026172583044454672,delta20minus10
Nfu_g_1_015049,0.03899383579225696,0.016941444157183547,0.02808178460864164,w20
Nfu_g_1_014607,0.038941041086596746,0.025334521243871606,0.03070436342396866,w20
Nfu_g_1_008816,0.03882193994958824,0.033646582408016316,0.027144210677334767,delta20minus10
Nfu_g_1_020588,0.038821715897325415,0.01500659623652928,0.026283377359248544,delta20minus10
Nfu_g_1_007579,0.03874228037023711,0.026032761035662686,0.02681805827718811,w20
Nfu_g_1_022756,0.038600107018973394,0.026885233351148185,0.029220540174550325,w20
Nfu_g_1_005133,0.038556383754148126,0.027258980625943497,0.02981783126755838,w20
Nfu_g_1_004360,0.03853951481706509,0.010701838477238495,0.027878671173618093,w10
Nfu_g_1_000226,0.038476408304856234,0.026119343191583218,0.030918748689421034,w20
Nfu_g_1_013782,0.0384700126543402,0.028468938145391226,0.02976484854186901,w20
Nfu_g_1_015809,0.038455544845880554,0.02544185283303036,0.02668470667641698,delta20minus10
Nfu_g_1_008077,0.038397584823729305,0.015132866232431385,0.024961975933432443,delta20minus10
Nfu_g_1_010083,0.038299047252759726,0.01949460510600623,0.0271017391087801,w10
Nfu_g_1_015335,0.03828314991568707,0.04979492097466032,0.03462633683663924,delta20minus10
Nfu_g_1_008059,0.038231067051471966,0.034186092366252196,0.029277684543882992,w20
Nfu_g_1_010475,0.038177364095084106,0.02006908777825383,0.02652201723811097,delta20minus10
Nfu_g_1_010885,0.03817682709691078,0.02352205666210588,0.031173306741225402,w20
Nfu_g_1_018223,0.038067060372295215,0.002716138372343966,0.027425937812862518,delta20minus10
Nfu_g_1_005178,0.03804119009343162,0.0451434843040083,0.029725780863646172,delta20minus10
Nfu_g_1_003257,0.03803896635734161,0.07391303043262572,0.055790104070877006,w20
Nfu_g_1_001145,0.037995523717532224,0.03402876521338225,0.02770975171076404,delta20minus10
Nfu_g_1_021007,0.03798824306403368,0.045406283947085777,0.03137834444750791,delta20minus10
Nfu_g_1_013428,0.03798505720709271,0.02738542560937382,0.030644008311286823,delta20minus10
