probe_id,pc2_loading_rss,pc2_max_abs_loading,pc2_dominant_day,gene_title,gene_symbol,gene_id,go_process,go_function
213831_PM_at,0.003652888740639745,0.0026039521225607446,D3,"major histocompatibility complex, class II, DQ alpha 1",HLA-DQA1,3117,T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///immune response///interferon-gamma-mediated signaling pathway,MHC class II receptor activity///MHC class II receptor activity///peptide antigen binding
206279_PM_at,0.0036449566019646283,0.0028575436540046084,D3,"protein kinase, Y-linked, pseudogene",PRKY,5616,protein phosphorylation,ATP binding///protein serine/threonine kinase activity
238577_PM_s_at,0.0036246378662054854,0.0032388256186127924,D0,teashirt zinc finger homeobox 2,TSHZ2,128553,"multicellular organism development///negative regulation of transcription from RNA polymerase II promoter///regulation of transcription from RNA polymerase II promoter///transcription, DNA-templated","DNA binding///chromatin binding///metal ion binding///protein binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
221969_PM_at,0.003600064476134255,0.0021015019317491735,D1,paired box 5,PAX5,5079,adult behavior///aging///cerebral cortex development///embryonic cranial skeleton morphogenesis///humoral immune response///lateral ventricle development///multicellular organism development///negative regulation of histone H3-K9 methylation///negative regulation of transcription from RNA polymerase II promoter///organ morphogenesis///positive regulation of transcription from RNA polymerase II promoter///skeletal muscle cell differentiation///spermatogenesis///transcription from RNA polymerase II promoter,"RNA polymerase II core promoter proximal region sequence-specific DNA binding///protein binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
236694_PM_at,0.0035937334300965764,0.0026936146247349,D3,"taxilin gamma pseudogene, Y-linked",TXLNGY,246126,,syntaxin binding
213418_PM_at,0.003584664532475205,0.003418619233386198,D7,heat shock protein family A (Hsp70) member 6,HSPA6,3310,NOT cellular heat acclimation///cellular response to heat///cellular response to heat///protein refolding///response to unfolded protein,"ATP binding///ATPase activity, coupled///enzyme binding///heat shock protein binding///protein binding///unfolded protein binding"
227330_PM_x_at,0.0035711271741500667,0.0026350540094605534,D1,tektin 4 pseudogene 2///MAFF interacting protein (pseudogene),TEKT4P2///MAFIP,100132288///727764,"regulation of transcription, DNA-templated///transcription, DNA-templated",
266_PM_s_at,0.0035113996116925743,0.002502078872228527,D7,CD24 molecule,CD24,100133941,B cell receptor transport into membrane raft///T cell costimulation///Wnt signaling pathway///cell activation///cell migration///chemokine receptor transport out of membrane raft///cholesterol homeostasis///glomerular parietal epithelial cell differentiation///glomerular visceral epithelial cell differentiation///immune response-regulating cell surface receptor signaling pathway///intrinsic apoptotic signaling pathway///negative regulation of transforming growth factor beta3 production///positive regulation of MAP kinase activity///positive regulation of activated T cell proliferation///positive regulation of cytosolic calcium ion concentration///positive regulation of nephron tubule epithelial cell differentiation///positive regulation of protein tyrosine kinase activity///regulation of MAPK cascade///regulation of cytokine-mediated signaling pathway///regulation of epithelial cell differentiation///regulation of phosphorylation///respiratory burst///response to estrogen///response to hypoxia///response to molecule of bacterial origin///single organismal cell-cell adhesion,protein binding///protein kinase binding///protein tyrosine kinase activator activity///signal transducer activity
244482_PM_at,0.0034815310129802843,0.003162291388713468,D3,,,,,
1554663_PM_a_at,0.0034526119614793588,0.002852555703228596,D3,nuclear mitotic apparatus protein 1,NUMA1,4926,cell division///establishment of mitotic spindle orientation///lung epithelial cell differentiation///meiotic cell cycle///mitotic nuclear division///nucleus organization,microtubule binding///protein binding///structural molecule activity
239624_PM_at,0.0034495078981169407,0.002308085392729776,D7,,,,,
1556839_PM_s_at,0.003448566339861831,0.001899957609681561,D0,uncharacterized LOC100289090,LOC100289090,100289090,,
218820_PM_at,0.003391560863245842,0.0021770457434899817,D7,chromosome 14 open reading frame 132,C14orf132,56967,,
226122_PM_at,0.003386810869258045,0.002403159124215063,D0,pleckstrin homology and RhoGEF domain containing G1,PLEKHG1,57480,positive regulation of GTPase activity///regulation of Rho protein signal transduction,Rho guanyl-nucleotide exchange factor activity
1554918_PM_a_at,0.003349161313977188,0.002113959263307976,D3,ATP binding cassette subfamily C member 4,ABCC4,10257,anion transmembrane transport///biological_process///cilium assembly///oxidation-reduction process///platelet degranulation///prostaglandin secretion///transmembrane transport,"15-hydroxyprostaglandin dehydrogenase (NAD+) activity///ATP binding///ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism///anion transmembrane-transporting ATPase activity"
215621_PM_s_at,0.0033309672858133255,0.0022552394052676576,D3,immunoglobulin heavy constant delta,IGHD,3495,"B cell receptor signaling pathway///complement activation, classical pathway///defense response to bacterium///immune response///innate immune response///phagocytosis, engulfment///phagocytosis, recognition///positive regulation of B cell activation",antigen binding///antigen binding///immunoglobulin receptor binding
219073_PM_s_at,0.0033280575259602525,0.0022842554633021703,D7,oxysterol binding protein like 10,OSBPL10,114884,lipid metabolic process///lipid transport,cholesterol binding///phosphatidylserine binding
202554_PM_s_at,0.00332324796871301,0.0030782815652833978,D0,glutathione S-transferase mu 3,GSTM3,2947,cellular detoxification of nitrogen compound///establishment of blood-nerve barrier///glutathione derivative biosynthetic process///glutathione metabolic process///nitrobenzene metabolic process///response to estrogen///xenobiotic catabolic process,enzyme binding///glutathione binding///glutathione transferase activity///glutathione transferase activity///identical protein binding///protein homodimerization activity///protein homodimerization activity
224533_PM_s_at,0.003319197903522476,0.0023469250030091044,D1,,,,,
209480_PM_at,0.003312735679961734,0.002156504105887311,D3,"major histocompatibility complex, class II, DQ beta 1",HLA-DQB1,3119,T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///humoral immune response mediated by circulating immunoglobulin///immune response///immunoglobulin production involved in immunoglobulin mediated immune response///interferon-gamma-mediated signaling pathway,MHC class II receptor activity///peptide antigen binding
216620_PM_s_at,0.003307118011716107,0.0024923573794613393,D0,Rho guanine nucleotide exchange factor 10,ARHGEF10,9639,activation of GTPase activity///centrosome duplication///mitotic spindle assembly///myelination in peripheral nervous system///positive regulation of stress fiber assembly///regulation of Rho protein signal transduction,Rho guanyl-nucleotide exchange factor activity///kinesin binding///protein binding
219895_PM_at,0.0032793786423581206,0.0023962651984099272,D7,transmembrane protein 255A,TMEM255A,55026,,
229070_PM_at,0.0032474230802677527,0.002166023161934655,D7,androgen dependent TFPI regulating protein,ADTRP,84830,,
