gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
LOC144571,0.003303537212899935,-0.008472733829283676,0.003303537212899935,0.008472733829283676,FALSE,FALSE
CLUAP1,0.0033008478146644873,0.006151221794328712,0.0033008478146644873,0.006151221794328712,FALSE,FALSE
DEFB106A /// DEFB106B,-0.0032998616800720033,0.01723142875431687,0.0032998616800720033,0.01723142875431687,FALSE,FALSE
C1orf150,-0.0032920503423726124,0.007938834739892087,0.0032920503423726124,0.007938834739892087,FALSE,FALSE
KIR2DS2 /// KIR2DS4,0.0032909726083621155,0.015218936597704045,0.0032909726083621155,0.015218936597704045,FALSE,FALSE
ZNF571,-0.0032907281002756282,0.01902958101369859,0.0032907281002756282,0.01902958101369859,FALSE,FALSE
ZNF516,0.003290238904327772,0.007396741853427005,0.003290238904327772,0.007396741853427005,FALSE,FALSE
LOC100131541,-0.00328579551870212,0.01493822424095189,0.00328579551870212,0.01493822424095189,FALSE,FALSE
ZNF469,0.003284523079714024,0.011686702523404102,0.003284523079714024,0.011686702523404102,FALSE,FALSE
EFCAB6,0.003284304024199864,-0.006837630472362312,0.003284304024199864,0.006837630472362312,FALSE,FALSE
IL13RA1,-0.0032826749350268174,0.008184341552704187,0.0032826749350268174,0.008184341552704187,FALSE,FALSE
CFD,0.0032816536752253104,0.012935798274910069,0.0032816536752253104,0.012935798274910069,FALSE,FALSE
TMEM43,0.0032815100395815516,-0.0011648282199954716,0.0032815100395815516,0.0011648282199954716,FALSE,FALSE
CKS2,0.0032716246736657593,0.013970191815118395,0.0032716246736657593,0.013970191815118395,FALSE,FALSE
HIST1H2AE,-0.0032685627325869044,0.01471013394826692,0.0032685627325869044,0.01471013394826692,FALSE,FALSE
C17orf51,0.0032665521452722238,0.023083180115293544,0.0032665521452722238,0.023083180115293544,FALSE,FALSE
HN1L,0.0032616268145402574,-0.008343655670632165,0.0032616268145402574,0.008343655670632165,FALSE,FALSE
DUSP14,0.003261472742001658,0.027679902689993156,0.003261472742001658,0.027679902689993156,FALSE,FALSE
ZNF300,0.0032598922985400927,-0.011465260418400059,0.0032598922985400927,0.011465260418400059,FALSE,FALSE
TLR1,0.0032570802506642575,-0.008921608216351427,0.0032570802506642575,0.008921608216351427,FALSE,FALSE
CCDC58,-0.003255068016947643,0.0012850351250586112,0.003255068016947643,0.0012850351250586112,FALSE,FALSE
DDX28,-0.0032500776994446854,-0.005508500422461399,0.0032500776994446854,0.005508500422461399,FALSE,FALSE
EHD1,-0.0032500714833817875,0.02401948898288505,0.0032500714833817875,0.02401948898288505,FALSE,FALSE
ZNF322A,-0.0032451113717882436,-0.007915867142652898,0.0032451113717882436,0.007915867142652898,FALSE,FALSE
C1orf14,-0.0032450103156082552,-0.014032592800966739,0.0032450103156082552,0.014032592800966739,FALSE,FALSE
MED21,-0.003241825641865999,0.016174174252033192,0.003241825641865999,0.016174174252033192,FALSE,FALSE
SNHG9,0.003236653876878178,0.009064343495684605,0.003236653876878178,0.009064343495684605,FALSE,FALSE
KCNJ15,-0.0032345195653068043,0.005488440677584455,0.0032345195653068043,0.005488440677584455,FALSE,FALSE
GFPT1,0.003229818334594636,0.02033818864395788,0.003229818334594636,0.02033818864395788,FALSE,FALSE
CTTNBP2NL,0.003226269872030292,-0.01489014436428155,0.003226269872030292,0.01489014436428155,FALSE,FALSE
ID4,0.0032251829113144445,-0.022352283586366605,0.0032251829113144445,0.022352283586366605,FALSE,FALSE
LOC730184,-0.003223187971959666,-0.015292061576294666,0.003223187971959666,0.015292061576294666,FALSE,FALSE
CDA,-0.0032230822740201737,0.0030848708718889074,0.0032230822740201737,0.0030848708718889074,FALSE,FALSE
PTBP2,-0.0032210438979365383,0.026460940568487763,0.0032210438979365383,0.026460940568487763,FALSE,FALSE
SLC6A4,-0.003220965179654641,0.010683653337526538,0.003220965179654641,0.010683653337526538,FALSE,FALSE
HMGCR,-0.0032145686357981343,0.007292748615650384,0.0032145686357981343,0.007292748615650384,FALSE,TRUE
DENND5B,0.0032089929225198417,0.004458682812819845,0.0032089929225198417,0.004458682812819845,FALSE,FALSE
C14orf149,0.0032037119616968985,0.0019299743642043471,0.0032037119616968985,0.0019299743642043471,FALSE,FALSE
C20orf70,-0.0032001137004716734,-0.021101633687110863,0.0032001137004716734,0.021101633687110863,FALSE,FALSE
HIRA,0.0031984221164362238,0.004070719339780127,0.0031984221164362238,0.004070719339780127,FALSE,FALSE
