gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
LOC100129309,0.00844051959439303,-0.001839046274153255,0.00844051959439303,0.001839046274153255,FALSE,FALSE
HIST2H2AA3 /// HIST2H2AA4,-0.008432637299929914,0.021796750550123953,0.008432637299929914,0.021796750550123953,FALSE,FALSE
HOXD3,0.008430219604033664,0.009236144952953516,0.008430219604033664,0.009236144952953516,FALSE,FALSE
LOC100302650,-0.008429189401522062,-0.0012234311984213354,0.008429189401522062,0.0012234311984213354,FALSE,FALSE
POLR2J2,0.008423500587270613,-0.013307030164665721,0.008423500587270613,0.013307030164665721,FALSE,FALSE
ZNF184,-0.008413755257216387,0.003017806401653847,0.008413755257216387,0.003017806401653847,FALSE,FALSE
NBN,-0.008407646555336068,-0.003105359990647015,0.008407646555336068,0.003105359990647015,FALSE,FALSE
CSTF2T,-0.00840666601235915,8.646722030778476e-4,0.00840666601235915,8.646722030778476e-4,FALSE,FALSE
SPTY2D1,-0.008394828357395398,0.021464817919545312,0.008394828357395398,0.021464817919545312,FALSE,FALSE
PIGM,0.008387609929654918,0.0015565302604288592,0.008387609929654918,0.0015565302604288592,FALSE,FALSE
C19orf26,0.008386253758837245,-0.00492193164749759,0.008386253758837245,0.00492193164749759,FALSE,FALSE
MKRN1,-0.00838569950631884,-0.007650946930919506,0.00838569950631884,0.007650946930919506,FALSE,FALSE
PPP1R3D,-0.00838516185263368,0.015268375980720107,0.00838516185263368,0.015268375980720107,FALSE,FALSE
PP14571,0.008380830131150355,-2.880684583185886e-4,0.008380830131150355,2.880684583185886e-4,FALSE,FALSE
FAM102A,0.008378991125374203,0.0035450265651401527,0.008378991125374203,0.0035450265651401527,FALSE,FALSE
AKR1C2,0.008369088050535725,0.0072237242341426046,0.008369088050535725,0.0072237242341426046,FALSE,FALSE
SMEK3P,-0.008367372809329155,-0.020379280376820887,0.008367372809329155,0.020379280376820887,FALSE,FALSE
ING1,-0.008367196266714455,0.010351569626171587,0.008367196266714455,0.010351569626171587,FALSE,FALSE
LOC388692,0.008363093846819127,-0.006225530582936129,0.008363093846819127,0.006225530582936129,FALSE,FALSE
BPI,-0.008360415799305786,0.013685118737104318,0.008360415799305786,0.013685118737104318,FALSE,FALSE
ETV2,-0.008359174802845563,-0.002075426426168879,0.008359174802845563,0.002075426426168879,FALSE,FALSE
P2RX7,0.008354682944087264,0.009062020690277006,0.008354682944087264,0.009062020690277006,FALSE,FALSE
ZNF573,0.008353380424269146,-0.022718726129019606,0.008353380424269146,0.022718726129019606,FALSE,FALSE
FBXO22,0.008350993495242804,-0.005548124797398612,0.008350993495242804,0.005548124797398612,FALSE,FALSE
KIAA1524,-0.008350675235504016,-9.251973844150359e-4,0.008350675235504016,9.251973844150359e-4,FALSE,FALSE
TM4SF1,0.008349568458501717,-0.002744470631303961,0.008349568458501717,0.002744470631303961,FALSE,FALSE
HMGCS1,0.008349499364705963,0.019349611686855908,0.008349499364705963,0.019349611686855908,FALSE,TRUE
ZNF540,-0.008342227197446648,-0.015473547597508481,0.008342227197446648,0.015473547597508481,FALSE,FALSE
PCDHA2,-0.008336961337965165,-0.0037161569804408413,0.008336961337965165,0.0037161569804408413,FALSE,FALSE
CCR5,0.008333655662174233,-3.2468198038292296e-4,0.008333655662174233,3.2468198038292296e-4,FALSE,FALSE
ZFHX2,0.008331666322496092,0.0046286582774523796,0.008331666322496092,0.0046286582774523796,FALSE,FALSE
LRIG1,0.008326984111504104,0.01551613638638679,0.008326984111504104,0.01551613638638679,FALSE,FALSE
CEP78,0.008326757390256326,-0.01070746983598385,0.008326757390256326,0.01070746983598385,FALSE,FALSE
CAGE1,0.008322389641393353,-0.0034230944963591597,0.008322389641393353,0.0034230944963591597,FALSE,FALSE
HAGH,-0.008321665890929019,-0.004705226044620712,0.008321665890929019,0.004705226044620712,FALSE,FALSE
C1orf107,-0.008311750403270339,0.004832907401940968,0.008311750403270339,0.004832907401940968,FALSE,FALSE
GP1BA,0.008301527498904622,-0.005341332930183583,0.008301527498904622,0.005341332930183583,FALSE,FALSE
LOC645744,-0.008301110626207748,-0.007546148160278944,0.008301110626207748,0.007546148160278944,FALSE,FALSE
STX7,0.008295519199989589,-0.011518950674542784,0.008295519199989589,0.011518950674542784,FALSE,FALSE
TUBB4Q /// TUBB8 /// TUBBP5,0.008292918795622942,-0.006684441610827398,0.008292918795622942,0.006684441610827398,FALSE,FALSE
TAC4,-0.00828549765374852,-0.00369030038121345,0.00828549765374852,0.00369030038121345,FALSE,FALSE
PPP2R2C,-0.008283155118950447,-0.008566525896393706,0.008283155118950447,0.008566525896393706,FALSE,FALSE
FUT7,-0.008280303391545377,6.447145044855781e-4,0.008280303391545377,6.447145044855781e-4,FALSE,FALSE
FKTN,0.008280131329664708,-0.011297902444720153,0.008280131329664708,0.011297902444720153,FALSE,FALSE
FZD3,0.008275079262333047,-0.009200479486926871,0.008275079262333047,0.009200479486926871,FALSE,FALSE
ARVCF,0.008270302489561194,0.007632962696152825,0.008270302489561194,0.007632962696152825,FALSE,FALSE
CRYBB2P1,0.008261532303783611,-0.01231233210710863,0.008261532303783611,0.01231233210710863,FALSE,FALSE
RIBC1,-0.00825450431015543,-0.01017321702592824,0.00825450431015543,0.01017321702592824,FALSE,FALSE
ALS2CR8,-0.008253798025823437,-0.009702537060629937,0.008253798025823437,0.009702537060629937,FALSE,FALSE
FAM43A,0.008240125845526965,0.0016443335132154035,0.008240125845526965,0.0016443335132154035,FALSE,FALSE
LOC100170939,0.008239835891862316,0.013224612080911536,0.008239835891862316,0.013224612080911536,FALSE,FALSE
LOC100190938,-0.008225510903244557,-0.008249252912659823,0.008225510903244557,0.008249252912659823,FALSE,FALSE
LOC283738,-0.008219364279754988,-0.00867354255977142,0.008219364279754988,0.00867354255977142,FALSE,FALSE
HIST1H2BJ,0.008217714389567747,0.009590199688943521,0.008217714389567747,0.009590199688943521,FALSE,FALSE
LOC100129175,0.008216583549132543,0.0029016527353770993,0.008216583549132543,0.0029016527353770993,FALSE,FALSE
LAIR1,-0.008215951512294995,-0.004235781145838282,0.008215951512294995,0.004235781145838282,FALSE,FALSE
SLC12A7,-0.008205212290168828,-0.0013676558711859796,0.008205212290168828,0.0013676558711859796,FALSE,FALSE
NUDCD1,0.00820509726554708,-0.006963392239129542,0.00820509726554708,0.006963392239129542,FALSE,FALSE
SOCS3,-0.008194127771525466,0.014931241811012711,0.008194127771525466,0.014931241811012711,FALSE,FALSE
C5orf44,-0.008181127637877466,0.0101463460847349,0.008181127637877466,0.0101463460847349,FALSE,FALSE
ADAM11,0.008179991013331007,0.007775919782418569,0.008179991013331007,0.007775919782418569,FALSE,FALSE
PDE1A,-0.00817801671210422,-0.01874175202900679,0.00817801671210422,0.01874175202900679,FALSE,FALSE
LOC254057,-0.008177491036456569,0.002839196045482609,0.008177491036456569,0.002839196045482609,FALSE,FALSE
GBP4,-0.008173764335647173,-0.009515381488720371,0.008173764335647173,0.009515381488720371,FALSE,FALSE
HOXA5,0.008150338835793225,0.028858264939606065,0.008150338835793225,0.028858264939606065,FALSE,FALSE
USP44,-0.008149971661225166,0.005654794524549288,0.008149971661225166,0.005654794524549288,FALSE,FALSE
CYBRD1,-0.008140591372361962,-0.005942490882526251,0.008140591372361962,0.005942490882526251,FALSE,FALSE
